Date,INDU,SPX,AS30,UKX,ASX
6/26/1919,105.63,NA,NA,NA,NA
6/27/1919,106.66,NA,NA,NA,NA
6/30/1919,106.98,NA,NA,NA,NA
7/1/1919,108.13,NA,NA,NA,NA
7/2/1919,108.56,NA,NA,NA,NA
7/3/1919,109.9,NA,NA,NA,NA
7/4/1919,109.9,NA,NA,NA,NA
7/7/1919,109.41,NA,NA,NA,NA
7/8/1919,109.97,NA,NA,NA,NA
7/9/1919,110.46,NA,NA,NA,NA
7/10/1919,110,NA,NA,NA,NA
7/11/1919,109.92,NA,NA,NA,NA
7/14/1919,112.23,NA,NA,NA,NA
7/15/1919,111.66,NA,NA,NA,NA
7/16/1919,111.47,NA,NA,NA,NA
7/17/1919,110.65,NA,NA,NA,NA
7/18/1919,110.69,NA,NA,NA,NA
7/21/1919,107.24,NA,NA,NA,NA
7/22/1919,109.34,NA,NA,NA,NA
7/23/1919,110.73,NA,NA,NA,NA
7/24/1919,109.98,NA,NA,NA,NA
7/25/1919,110.03,NA,NA,NA,NA
7/28/1919,110.94,NA,NA,NA,NA
7/29/1919,109.72,NA,NA,NA,NA
7/30/1919,108.91,NA,NA,NA,NA
7/31/1919,107.16,NA,NA,NA,NA
8/1/1919,107.99,NA,NA,NA,NA
8/4/1919,102.82,NA,NA,NA,NA
8/5/1919,102.4,NA,NA,NA,NA
8/6/1919,105.78,NA,NA,NA,NA
8/7/1919,100.8,NA,NA,NA,NA
8/8/1919,101.88,NA,NA,NA,NA
8/11/1919,103.94,NA,NA,NA,NA
8/12/1919,105.1,NA,NA,NA,NA
8/13/1919,104.28,NA,NA,NA,NA
8/14/1919,102.86,NA,NA,NA,NA
8/15/1919,102.25,NA,NA,NA,NA
8/18/1919,99.7,NA,NA,NA,NA
8/19/1919,100.58,NA,NA,NA,NA
8/20/1919,98.46,NA,NA,NA,NA
8/21/1919,99.47,NA,NA,NA,NA
8/22/1919,100.84,NA,NA,NA,NA
8/25/1919,101.63,NA,NA,NA,NA
8/26/1919,103.29,NA,NA,NA,NA
8/27/1919,101.91,NA,NA,NA,NA
8/28/1919,103.01,NA,NA,NA,NA
8/29/1919,104.75,NA,NA,NA,NA
9/1/1919,104.75,NA,NA,NA,NA
9/2/1919,106.26,NA,NA,NA,NA
9/3/1919,108.55,NA,NA,NA,NA
9/4/1919,108.27,NA,NA,NA,NA
9/5/1919,106.96,NA,NA,NA,NA
9/8/1919,106.51,NA,NA,NA,NA
9/9/1919,108.3,NA,NA,NA,NA
9/10/1919,108.3,NA,NA,NA,NA
9/11/1919,107.68,NA,NA,NA,NA
9/12/1919,107.1,NA,NA,NA,NA
9/15/1919,108.39,NA,NA,NA,NA
9/16/1919,108.81,NA,NA,NA,NA
9/17/1919,107.55,NA,NA,NA,NA
9/18/1919,106.78,NA,NA,NA,NA
9/19/1919,105.84,NA,NA,NA,NA
9/22/1919,106.3,NA,NA,NA,NA
9/23/1919,106.89,NA,NA,NA,NA
9/24/1919,106.83,NA,NA,NA,NA
9/25/1919,107.3,NA,NA,NA,NA
9/26/1919,108.66,NA,NA,NA,NA
9/29/1919,110.32,NA,NA,NA,NA
9/30/1919,111.42,NA,NA,NA,NA
10/1/1919,111.12,NA,NA,NA,NA
10/2/1919,111.19,NA,NA,NA,NA
10/3/1919,108.9,NA,NA,NA,NA
10/6/1919,112.04,NA,NA,NA,NA
10/7/1919,112.55,NA,NA,NA,NA
10/8/1919,113.55,NA,NA,NA,NA
10/9/1919,113.4,NA,NA,NA,NA
10/10/1919,114.42,NA,NA,NA,NA
10/13/1919,114.42,NA,NA,NA,NA
10/14/1919,112.41,NA,NA,NA,NA
10/15/1919,112.88,NA,NA,NA,NA
10/16/1919,112.51,NA,NA,NA,NA
10/17/1919,112.98,NA,NA,NA,NA
10/20/1919,115.43,NA,NA,NA,NA
10/21/1919,115.62,NA,NA,NA,NA
10/22/1919,117.62,NA,NA,NA,NA
10/23/1919,114.88,NA,NA,NA,NA
10/24/1919,115.57,NA,NA,NA,NA
10/27/1919,114.88,NA,NA,NA,NA
10/28/1919,116.3,NA,NA,NA,NA
10/29/1919,117.43,NA,NA,NA,NA
10/30/1919,117.33,NA,NA,NA,NA
10/31/1919,118.92,NA,NA,NA,NA
11/3/1919,119.62,NA,NA,NA,NA
11/4/1919,119.62,NA,NA,NA,NA
11/5/1919,118.48,NA,NA,NA,NA
11/6/1919,117.78,NA,NA,NA,NA
11/7/1919,117.18,NA,NA,NA,NA
11/10/1919,112.93,NA,NA,NA,NA
11/11/1919,110.75,NA,NA,NA,NA
11/12/1919,107.15,NA,NA,NA,NA
11/13/1919,110.69,NA,NA,NA,NA
11/14/1919,110.49,NA,NA,NA,NA
11/17/1919,109.09,NA,NA,NA,NA
11/18/1919,107.45,NA,NA,NA,NA
11/19/1919,106.15,NA,NA,NA,NA
11/20/1919,108.19,NA,NA,NA,NA
11/21/1919,107.73,NA,NA,NA,NA
11/24/1919,108.86,NA,NA,NA,NA
11/25/1919,109.02,NA,NA,NA,NA
11/26/1919,107.5,NA,NA,NA,NA
11/27/1919,107.5,NA,NA,NA,NA
11/28/1919,103.72,NA,NA,NA,NA
12/1/1919,104.03,NA,NA,NA,NA
12/2/1919,104.41,NA,NA,NA,NA
12/3/1919,105.75,NA,NA,NA,NA
12/4/1919,107.97,NA,NA,NA,NA
12/5/1919,107.42,NA,NA,NA,NA
12/8/1919,107.83,NA,NA,NA,NA
12/9/1919,106.85,NA,NA,NA,NA
12/10/1919,107.01,NA,NA,NA,NA
12/11/1919,105.01,NA,NA,NA,NA
12/12/1919,103.73,NA,NA,NA,NA
12/15/1919,105.06,NA,NA,NA,NA
12/16/1919,106.61,NA,NA,NA,NA
12/17/1919,107.26,NA,NA,NA,NA
12/18/1919,103.78,NA,NA,NA,NA
12/19/1919,104.63,NA,NA,NA,NA
12/22/1919,103.55,NA,NA,NA,NA
12/23/1919,103.79,NA,NA,NA,NA
12/24/1919,103.95,NA,NA,NA,NA
12/25/1919,103.95,NA,NA,NA,NA
12/26/1919,105.63,NA,NA,NA,NA
12/29/1919,105.18,NA,NA,NA,NA
12/30/1919,105.46,NA,NA,NA,NA
12/31/1919,107.23,NA,NA,NA,NA
1/1/1920,107.23,NA,NA,NA,NA
1/2/1920,108.76,NA,NA,NA,NA
1/5/1920,108.85,NA,NA,NA,NA
1/6/1920,107.36,NA,NA,NA,NA
1/7/1920,107.55,NA,NA,NA,NA
1/8/1920,107.24,NA,NA,NA,NA
1/9/1920,106.59,NA,NA,NA,NA
1/12/1920,104.22,NA,NA,NA,NA
1/13/1920,104.53,NA,NA,NA,NA
1/14/1920,102,NA,NA,NA,NA
1/15/1920,103.62,NA,NA,NA,NA
1/16/1920,101.94,NA,NA,NA,NA
1/19/1920,102.72,NA,NA,NA,NA
1/20/1920,103.48,NA,NA,NA,NA
1/21/1920,102.62,NA,NA,NA,NA
1/22/1920,102.36,NA,NA,NA,NA
1/23/1920,101.9,NA,NA,NA,NA
1/26/1920,103.74,NA,NA,NA,NA
1/27/1920,104.15,NA,NA,NA,NA
1/28/1920,103.96,NA,NA,NA,NA
1/29/1920,103.6,NA,NA,NA,NA
1/30/1920,104.21,NA,NA,NA,NA
2/2/1920,103.01,NA,NA,NA,NA
2/3/1920,99.96,NA,NA,NA,NA
2/4/1920,97.23,NA,NA,NA,NA
2/5/1920,95.5,NA,NA,NA,NA
2/6/1920,95.75,NA,NA,NA,NA
2/9/1920,95.73,NA,NA,NA,NA
2/10/1920,92.12,NA,NA,NA,NA
2/11/1920,90.66,NA,NA,NA,NA
2/12/1920,90.66,NA,NA,NA,NA
2/13/1920,92.66,NA,NA,NA,NA
2/16/1920,92.6,NA,NA,NA,NA
2/17/1920,93.56,NA,NA,NA,NA
2/18/1920,94.44,NA,NA,NA,NA
2/19/1920,94.15,NA,NA,NA,NA
2/20/1920,95.57,NA,NA,NA,NA
2/23/1920,95.57,NA,NA,NA,NA
2/24/1920,92.98,NA,NA,NA,NA
2/25/1920,89.98,NA,NA,NA,NA
2/26/1920,91.37,NA,NA,NA,NA
2/27/1920,91.18,NA,NA,NA,NA
3/1/1920,92.4,NA,NA,NA,NA
3/2/1920,91.68,NA,NA,NA,NA
3/3/1920,91.95,NA,NA,NA,NA
3/4/1920,94.22,NA,NA,NA,NA
3/5/1920,94.58,NA,NA,NA,NA
3/8/1920,97.38,NA,NA,NA,NA
3/9/1920,97.11,NA,NA,NA,NA
3/10/1920,99.46,NA,NA,NA,NA
3/11/1920,99.8,NA,NA,NA,NA
3/12/1920,98.55,NA,NA,NA,NA
3/15/1920,100.55,NA,NA,NA,NA
3/16/1920,100.39,NA,NA,NA,NA
3/17/1920,102.11,NA,NA,NA,NA
3/18/1920,103.98,NA,NA,NA,NA
3/19/1920,103.66,NA,NA,NA,NA
3/22/1920,104.17,NA,NA,NA,NA
3/23/1920,103.55,NA,NA,NA,NA
3/24/1920,100.33,NA,NA,NA,NA
3/25/1920,101.54,NA,NA,NA,NA
3/26/1920,103.63,NA,NA,NA,NA
3/29/1920,102.23,NA,NA,NA,NA
3/30/1920,102.45,NA,NA,NA,NA
3/31/1920,102.81,NA,NA,NA,NA
4/1/1920,102.66,NA,NA,NA,NA
4/2/1920,102.98,NA,NA,NA,NA
4/5/1920,102.98,NA,NA,NA,NA
4/6/1920,104.32,NA,NA,NA,NA
4/7/1920,105.45,NA,NA,NA,NA
4/8/1920,105.65,NA,NA,NA,NA
4/9/1920,105.38,NA,NA,NA,NA
4/12/1920,103.94,NA,NA,NA,NA
4/13/1920,104.61,NA,NA,NA,NA
4/14/1920,105.18,NA,NA,NA,NA
4/15/1920,104.41,NA,NA,NA,NA
4/16/1920,104.73,NA,NA,NA,NA
4/19/1920,101.87,NA,NA,NA,NA
4/20/1920,99.48,NA,NA,NA,NA
4/21/1920,95.93,NA,NA,NA,NA
4/22/1920,97.15,NA,NA,NA,NA
4/23/1920,95.46,NA,NA,NA,NA
4/26/1920,97.2,NA,NA,NA,NA
4/27/1920,96.41,NA,NA,NA,NA
4/28/1920,94.75,NA,NA,NA,NA
4/29/1920,93.16,NA,NA,NA,NA
4/30/1920,93.54,NA,NA,NA,NA
5/3/1920,94.03,NA,NA,NA,NA
5/4/1920,94.27,NA,NA,NA,NA
5/5/1920,94.41,NA,NA,NA,NA
5/6/1920,94.17,NA,NA,NA,NA
5/7/1920,93.45,NA,NA,NA,NA
5/10/1920,93.33,NA,NA,NA,NA
5/11/1920,92.52,NA,NA,NA,NA
5/12/1920,91.29,NA,NA,NA,NA
5/13/1920,90.8,NA,NA,NA,NA
5/14/1920,91.35,NA,NA,NA,NA
5/17/1920,91.24,NA,NA,NA,NA
5/18/1920,91.21,NA,NA,NA,NA
5/19/1920,87.36,NA,NA,NA,NA
5/20/1920,88.16,NA,NA,NA,NA
5/21/1920,88.2,NA,NA,NA,NA
5/24/1920,87.57,NA,NA,NA,NA
5/25/1920,90.24,NA,NA,NA,NA
