HISTORICAL DATA FOR NYSE COMPOSITE INDEX (SYMBOL NYA) ,,,
DATE,CLOSING PRICE,TOTAL RETURN,MARKET CAP
5/19/1966,484.81,N/A,N/A
5/20/1966,487.13,N/A,N/A
5/23/1966,491.47,N/A,N/A
5/24/1966,494.85,N/A,N/A
5/25/1966,496.75,N/A,N/A
5/26/1966,496.75,N/A,N/A
5/27/1966,498.45,N/A,N/A
5/31/1966,491.68,N/A,N/A
6/1/1966,491.78,N/A,N/A
6/2/1966,491.47,N/A,N/A
6/3/1966,492.1,N/A,N/A
6/6/1966,488.61,N/A,N/A
6/7/1966,485.12,N/A,N/A
6/8/1966,485.86,N/A,N/A
6/9/1966,489.35,N/A,N/A
6/10/1966,494.64,N/A,N/A
6/13/1966,496.97,N/A,N/A
6/14/1966,498.66,N/A,N/A
6/15/1966,496.75,N/A,N/A
6/16/1966,495.59,N/A,N/A
6/17/1966,495.7,N/A,N/A
6/20/1966,495.49,N/A,N/A
6/21/1966,497.28,N/A,N/A
6/22/1966,498.23,N/A,N/A
6/23/1966,496.23,N/A,N/A
6/24/1966,496.44,N/A,N/A
6/27/1966,493.37,N/A,N/A
6/28/1966,491.04,N/A,N/A
6/29/1966,486.18,N/A,N/A
6/30/1966,485.44,N/A,N/A
7/1/1966,490.2,N/A,N/A
7/5/1966,491.04,N/A,N/A
7/6/1966,497.92,N/A,N/A
7/7/1966,499.71,N/A,N/A
7/8/1966,500.56,N/A,N/A
7/11/1966,499.82,N/A,N/A
7/12/1966,497.28,N/A,N/A
7/13/1966,494.22,N/A,N/A
7/14/1966,497.07,N/A,N/A
7/15/1966,498.55,N/A,N/A
7/18/1966,498.02,N/A,N/A
7/19/1966,494.43,N/A,N/A
7/20/1966,489.99,N/A,N/A
7/21/1966,489.88,N/A,N/A
7/22/1966,489.46,N/A,N/A
7/25/1966,480.26,N/A,N/A
7/26/1966,479.1,N/A,N/A
7/27/1966,481.53,N/A,N/A
7/28/1966,479.73,N/A,N/A
7/29/1966,478.88,N/A,N/A
8/1/1966,471.59,N/A,N/A
8/2/1966,471.48,N/A,N/A
8/3/1966,476.14,N/A,N/A
8/4/1966,480.47,N/A,N/A
8/5/1966,481.1,N/A,N/A
8/8/1966,479.84,N/A,N/A
8/9/1966,478.78,N/A,N/A
8/10/1966,476.66,N/A,N/A
8/11/1966,476.24,N/A,N/A
8/12/1966,477.4,N/A,N/A
8/15/1966,475.08,N/A,N/A
8/16/1966,468.94,N/A,N/A
8/17/1966,466.2,N/A,N/A
8/18/1966,460.27,N/A,N/A
8/19/1966,456.89,N/A,N/A
8/22/1966,448.75,N/A,N/A
8/23/1966,448.22,N/A,N/A
8/24/1966,453.51,N/A,N/A
8/25/1966,447.8,N/A,N/A
8/26/1966,437.86,N/A,N/A
8/29/1966,426.33,N/A,N/A
8/30/1966,433.42,N/A,N/A
8/31/1966,440.4,N/A,N/A
9/1/1966,443.46,N/A,N/A
9/2/1966,442.09,N/A,N/A
9/6/1966,439.66,N/A,N/A
9/7/1966,435.74,N/A,N/A
9/8/1966,434.26,N/A,N/A
9/9/1966,435.64,N/A,N/A
9/12/1966,444.84,N/A,N/A
9/13/1966,447.37,N/A,N/A
9/14/1966,451.5,N/A,N/A
9/15/1966,456.26,N/A,N/A
9/16/1966,456.15,N/A,N/A
9/19/1966,454.04,N/A,N/A
9/20/1966,450.97,N/A,N/A
9/21/1966,443.36,N/A,N/A
9/22/1966,444.31,N/A,N/A
9/23/1966,443.04,N/A,N/A
9/26/1966,444.1,N/A,N/A
9/27/1966,445.37,N/A,N/A
9/28/1966,440.08,N/A,N/A
9/29/1966,435.32,N/A,N/A
9/30/1966,436.7,N/A,N/A
10/3/1966,427.39,N/A,N/A
10/4/1966,427.92,N/A,N/A
10/5/1966,425.49,N/A,N/A
10/6/1966,421.36,N/A,N/A
10/7/1966,416.29,N/A,N/A
10/10/1966,423.48,N/A,N/A
10/11/1966,425.7,N/A,N/A
10/12/1966,437.22,N/A,N/A
10/13/1966,437.01,N/A,N/A
10/14/1966,435.74,N/A,N/A
10/17/1966,440.61,N/A,N/A
10/18/1966,447.8,N/A,N/A
10/19/1966,444.52,N/A,N/A
10/20/1966,443.25,N/A,N/A
10/21/1966,444.84,N/A,N/A
10/24/1966,446,N/A,N/A
10/25/1966,448.43,N/A,N/A
10/26/1966,452.45,N/A,N/A
10/27/1966,456.26,N/A,N/A
10/28/1966,456.47,N/A,N/A
10/31/1966,456.36,N/A,N/A
11/1/1966,459.85,N/A,N/A
11/2/1966,460.38,N/A,N/A
